hanzi,pinyin,components,tu_hinh,y_nghia,radical,ghi_chu,,A968
子,zì,子,"Chữ 子 có nghĩa là 'con trai' hay 'con cái'. Chữ 子 vẽ em bé được quấn trong tã, nên chỉ vẽ hai tay và đầu. Cổ đại, chữ 子 được dùng với nghĩa là 'em bé' hay 'con cái'. Tuy nhiên, sau khi Trung Quốc chuyển sang xã hội phụ hệ, nó có nghĩa là 'bé trai', và sau đó các nghĩa 'con cái' hay 'người', 'bạn' được phái sinh. Do đó, khi chữ 子 được dùng làm bộ thủ, nó truyền đạt ý nghĩa 'em bé' hay 'người'.",,字、孙、存,,,
别,,,"Chữ 別 có nghĩa là 'chia' hay 'chia ly'. Chữ 別 là hình ảnh kết hợp giữa chữ 另 (linh - chia ly) và chữ 刀 (đao - dao). Chữ 另 bắt nguồn từ chữ 冎 (quá - lột xương), có nghĩa là lóc xương và thịt. Nhìn vào giáp cốt văn của chữ 別, mảnh xương và dao được vẽ cùng nhau. Đây là biểu hiện nghĩa xương và thịt người bị chia lìa. Việc xương và thịt bị chia lìa có nghĩa là người đã chết, nên chữ 別 có nghĩa là 'chia ly' hay 'chia'.",,,,,
的,,,"Chữ 的 có nghĩa là 'mục tiêu' hay 'đích', 'rõ ràng'. Chữ 的 là hình ảnh kết hợp giữa chữ 白 (bạch - trắng) và chữ 勺 (chước - cái vá). Chữ 勺 vẽ 'cái vá' dùng để múc nước, nhưng ở đây chỉ đóng vai trò phát âm 'chước→đích'. Tuy nhiên, nhìn vào tiểu triện của chữ 的, chữ 日 (nhật - mặt trời/ngày) được dùng thay cho chữ 白. Mặt trời có vai trò chiếu sáng thế giới. Do đó, nghĩa gốc của chữ 的 là 'rõ ràng' hay 'sáng sủa'. Có lẽ vì trời đẹp thì mục tiêu dễ nhìn thấy chăng? Chữ 的 sau này phái sinh nghĩa 'mục tiêu', và hiện nay được dùng với nghĩa là 'mục tiêu' hay 'tiêu chuẩn'.",,,,,
共,,,"Chữ 共 có nghĩa là 'cùng nhau' hay 'tất cả'. Nhìn vào giáp cốt văn của chữ 共, hình ảnh nâng hộp vuông được vẽ. Đây là biểu hiện của việc nâng bát tế lễ một cách cung kính. Chữ Công là chữ biểu hiện nghĩa 'cung kính' hay 'trang trọng', 'cùng nhau' bằng cách vẽ hình ảnh nâng bát tế lễ một cách cung kính như vậy. Cổ đại, chữ 共 và chữ 供 (cung - cung cấp) được dùng lẫn lộn. Tuy nhiên, đời sau chữ 供 được phân biệt nghĩa là 'cung cấp' hay 'ban cho', còn chữ 共 có nghĩa là 'cùng nhau' hay 'tất cả'.",,,,,
分,,,"Chữ 分 có nghĩa là 'chia' hay 'ban cho'. Chữ 分 là hình ảnh kết hợp giữa chữ 八 (bát - tám) và chữ 刀 (đao - dao). Chữ 八 vẽ hình ảnh sự vật bị chia làm đôi. Chữ Phân, kết hợp chữ 刀 vào chữ 八 vẽ hình ảnh sự vật bị chia như vậy, biểu hiện nghĩa vật bị chia làm đôi. Chữ Phân có nghĩa là 'chia sẻ' hay 'ban cho' từ hình ảnh sự vật bị chia làm đôi, nhưng sau khi vật bị chia thì nhìn thấy bên trong, nên nghĩa 'phân biệt' hay 'rõ ràng' cũng được phái sinh.",,,,,
两,,,"Chữ 兩 có nghĩa là 'hai' hay 'cặp', 'đơn vị trọng lượng'. Từ trước đến nay, chữ 兩 được giải thích là vẽ hình ảnh quả cân được treo song song. Bởi vì chữ 兩 cũng được dùng làm 'đơn vị trọng lượng'. Tuy nhiên, nhìn vào kim văn của chữ 兩, đây là vẽ cùng 'cái ách' và 'vòng dây cương' được đeo lên lưng ngựa kéo xe. Có hai cái ách có nghĩa là hai con ngựa kéo xe. Do đó, chữ 兩 ban đầu được tạo ra với nghĩa là 'đôi' hay 'cặp', nhưng sau này vì giống cái cân nên cũng được dùng làm đơn vị trọng lượng.",,,,,
来,,,"Chữ 來 có nghĩa là 'đến' hay 'quay trở lại', 'tương lai'. Mặc dù chữ 人 (nhân - người) được chỉ định làm bộ thủ của chữ 來, nhưng nó không liên quan gì đến 'người'. Bởi vì, nhìn vào giáp cốt văn của chữ 來, hình ảnh rễ và thân cây lúa mạch được vẽ cùng nhau. Do đó, chữ 來 ban đầu là chữ có nghĩa là 'lúa mạch'. Người xưa cho rằng ngũ cốc do trời ban cho. Do đó, chữ 來 dần được dùng với nghĩa là 'đến'. Khi chữ 來 được giả tá (mượn nghĩa) thành nghĩa 'đến' như vậy, hiện nay chữ 麥 (mạch - lúa mạch) được thêm chữ 夂 (trĩ - đi sau) vào để thay thế nghĩa 'lúa mạch'.",,,,,
给,,,"Chữ 給 có nghĩa là 'cho' hay 'thêm', 'bổ sung'. Chữ 給 là hình ảnh kết hợp giữa chữ 糸 (mịch - sợi tơ mảnh) và chữ 合 (hợp - hợp lại). Chữ 合 vẽ cái bát có nắp, có nghĩa là 'hợp lại' hay 'thêm vào'. Chữ Cấp là chữ được tạo ra để biểu hiện nghĩa để làm ra sợi chỉ dài cần phải tiếp tục nối các sợi chỉ khác lại. Do đó, chữ Cấp được tạo ra bằng cách kết hợp chữ 糸 với chữ 合 có nghĩa 'thêm vào' để chỉ nghĩa sợi chỉ liên tục được nối lại. Tuy nhiên, chữ 給 hiện nay chỉ được dùng đơn thuần với nghĩa là 'cho'.",,,,,
便,,,"Chữ 便 có nghĩa là 'tiện lợi' hay 'phân/nước tiểu'. Chữ 便 phát âm là 'biện' khi có nghĩa 'tiện lợi' và 'biện' khi có nghĩa 'phân/nước tiểu'. Chữ 便 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 更 (cánh/canh - sửa đổi). Chữ 更 vẽ bàn và roi cùng nhau, có nghĩa là 'sửa đổi'. Chữ Tiện, được thêm chữ 人 (nhân - người) vào chữ 更 có nghĩa 'sửa đổi' như vậy, được tạo ra với nghĩa là sửa chữa điều gì đó khiến người không thoải mái. Điều không thoải mái được nói đến ở đây là đại tiện và tiểu tiện. Do đó, chữ 便 ban đầu có nghĩa là 'phân/nước tiểu'. Khi giải quyết được đại tiểu tiện, cơ thể và tâm trạng sẽ thoải mái. Có lẽ vì vậy mà chữ 便 sau này cũng có nghĩa là 'tiện lợi'.",,,,,
宜,,宀、且,"Chữ 宜 có nghĩa là 'nên' hay 'hòa thuận'. Chữ 宜 là hình ảnh kết hợp giữa chữ 宀 (miên - mái nhà) và chữ 且 (thả - lại/mồ). Chữ 且 vẽ bia mộ. Tuy nhiên, nhìn vào giáp cốt văn của chữ 宜, chữ 肉 (nhục - thịt) được vẽ phía trên chữ 且. Đây là vẽ hình ảnh đặt thức ăn cúng tế lên thớt. Do đó, nghĩa gốc của chữ 宜 là 'thớt'. Chữ Nghi sau này được mở rộng nghĩa việc dâng thức ăn ngon lên thần linh là 'đáng lẽ', nên nghĩa gốc đã biến mất. Do đó, sau này chữ 俎 (tổ - thớt) được tạo ra riêng.",,,,,
西,xī,,"Chữ 西 có nghĩa là 'phía tây' hay 'hướng tây'. Mặc dù chữ 襾 (á - che đậy) được chỉ định làm bộ thủ của chữ 西, nhưng nó không liên quan gì đến nghĩa 'che đậy'. Chữ Tây là chữ vẽ tổ chim. Nhìn vào giáp cốt văn của chữ 西, hình ảnh tổ chim làm bằng cành cây đan lại được vẽ. Trong tiểu triện, hình dáng chim được thêm vào, tạo thành chữ 西 hiện nay. Chữ Tây vẽ tổ chim, nên được dùng với nghĩa là 'nhà chim' hay 'tổ'. Tuy nhiên, sau này nó được giả tá (mượn nghĩa) thành nghĩa 'phía tây'. Do đó, sau này chữ 栖 (tê - chim ở) được thêm chữ 木 (mộc - gỗ) hay chữ 巢 (sào - tổ chim) được tạo ra riêng.",,要、票、洒,,,
班,,,"Chữ 班 có nghĩa là 'chia' hay 'chia tay'. Chữ 班 là hình ảnh kết hợp giữa hai chữ ngọc (玉) và chữ 刀 (đao - dao). Đây là biểu hiện hình ảnh dùng dao chia ngọc. Chữ Ban cũng được xem là sự kết hợp giữa chữ 珏 (giác - đôi ngọc) và chữ 刀 (đao - dao), nhưng ý nghĩa dùng dao chia ngọc không đổi. Chia vật gì đó có nghĩa là phân phối theo thứ tự. Do đó, chữ 班 cũng phái sinh nghĩa 'thứ tự' hay 'lần lượt'. Ngoài ra, chữ 班 còn có nghĩa là 'vị trí', cổ đại Cao Ly (고려) gọi võ quan là 무반 (võ ban) và văn quan là 문반 (văn ban), hợp lại là 양반 (lưỡng ban - quý tộc).",,,,,
牙,,,"Chữ 牙 có nghĩa là 'răng hàm'. Chữ 牙 vẽ cả răng trên và răng dưới, nhưng có nghĩa là 'răng hàm'. Tuy nhiên, chữ 牙 vẽ răng động vật chứ không phải răng người. Bởi vì nhìn vào kim văn của chữ 牙, hình ảnh răng cửa động vật khít vào nhau được vẽ. Tuy nhiên, bất kể nguồn gốc này, chữ 牙 khi đứng một mình mới truyền đạt ý nghĩa liên quan đến 'răng', còn khi kết hợp với các chữ khác thì thường chỉ đóng vai trò phát âm.",,,,,
文,,,"Chữ 文 có nghĩa là 'chữ viết' hay 'văn chương'. Chữ 文 vẽ người dang rộng hai tay. Tuy nhiên, nhìn vào giáp cốt văn của chữ 文, có hoa văn nào đó được vẽ trên ngực người dang tay. Đây là biểu hiện của 'hình xăm' trên cơ thể. Do đó, nghĩa gốc của chữ 文 là 'khắc lên cơ thể'. Tuy nhiên, theo thời gian, chữ Văn được dùng với nghĩa liên quan đến việc khắc chữ như 'văn bản' hay 'sách vở'. Khi chữ Văn được dùng với nghĩa liên quan đến chữ viết hay sách vở như vậy, hiện nay chữ 紋 (văn - hoa văn) được thêm chữ 糸 (mịch - sợi tơ mảnh) vào để thay thế nghĩa 'hoa văn'. Chữ Văn được chỉ định làm bộ thủ, nhưng trong Hán tự thông dụng không có chữ nào liên quan.",,,,,
吃,,,"Âm đọc gốc của 「흘」 là 「ngật」. Được tạo thành từ bộ khẩu (口 ☞ miệng, ăn, nói) biểu thị ý nghĩa và chữ Khất (乞 → Ngật) biểu thị âm đọc (geol → heul) hợp lại.",,,,,
高,,,"Chữ 高 có nghĩa là 'cao' hay 'lớn'. Chữ Cao vẽ lầu gác được xây dựng cao. Nhìn vào giáp cốt văn của chữ Cao, phía trên vẽ mái nhà và đài quan sát, phía dưới lối vào được biểu hiện bằng chữ 口 (khẩu - miệng). Đây là vẽ vọng lâu của thành hoặc gác chuông (鐘閣) báo giờ bằng cách đánh chuông. Chữ Cao vẽ tòa nhà cao như vậy, nên có nghĩa là 'cao', nhưng được ví với sự cao cả, phái sinh nghĩa 'xuất sắc' hay 'cao thượng', 'lớn'. Chữ Cao được chỉ định làm bộ thủ, nhưng trong Hán tự thông dụng không có chữ nào liên quan.",,,,,
兴,,,"Chữ 興 có nghĩa là 'khởi xướng' hay 'thịnh vượng'. Chữ 興 là hình ảnh kết hợp giữa chữ 舁 (dư - cùng nâng) và chữ 同 (đồng - cùng nhau). Chữ 舁 vẽ hình ảnh hai bàn tay nắm chặt nhau trên dưới, có nghĩa là 'cùng nâng'. Chữ Hưng, kết hợp chữ 同 có nghĩa 'cùng nhau' vào chữ 舁 vẽ hình ảnh cùng nâng vật gì đó như vậy, biểu hiện nghĩa 'cùng nhau nâng'. Nhìn vào giáp cốt văn của chữ 興, hình ảnh cùng nhau nâng cái bát lớn được vẽ. Cổ đại, người ta làm lễ tế để cầu nguyện sự phục hưng và thịnh vượng của đất nước. Chữ Hưng mang ý nghĩa đó, được dùng với nghĩa là 'khởi xướng' hay 'thịnh vượng'.",,,,,
些,,,"Được tạo thành từ bộ nhị (二 ☞ hai, nhiều lần) biểu thị ý nghĩa và chữ Thử (此 → Ta) biểu thị âm đọc (cha → sa) hợp lại.",,,,,
面,,,"Chữ 面 có nghĩa là 'khuôn mặt' hay 'mặt phẳng'. Chữ 面 vẽ đặc điểm của chu vi đầu và mắt người. Nhìn vào giáp cốt văn của chữ Diện, hình ảnh một con mắt được vẽ bên trong hình bầu dục dài. Đây là biểu hiện của khuôn mặt người. Tuy nhiên, chữ Diện không chỉ có nghĩa đơn thuần là 'khuôn mặt'. Nó còn được dùng với nghĩa là 'biểu cảm' hay 'vẻ bề ngoài' bắt nguồn từ khuôn mặt người.",,,,,
条,,,"Chữ 條 có nghĩa là 'cành cây' hay 'mạch lạc', 'điều khoản'. Chữ 條 là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 攸 (du - cái cọc). Chữ 攸 vẽ hình ảnh dùng roi đánh người. Chữ Điều, kết hợp chữ 木 vào chữ 攸 vẽ hình ảnh dùng roi như vậy, là chữ được tạo ra để chỉ chất liệu của roi, 'cành cây'. Như vậy, chữ Điều được tạo ra với nghĩa là cành phụ của cây, nhưng giống như cành cây phái sinh từ cây, các điều khoản phái sinh từ pháp luật, nên nó cũng có nghĩa là 'hạng mục' hay 'điều khoản'.",,,,,
白,,,"Chữ 白 có nghĩa là 'trắng' hay 'sạch sẽ', 'chân thật'. Chữ 白 được giải thích là vẽ ngọn nến. Nhìn vào giáp cốt văn của chữ 白, có một nét gạch được vẽ ở trung tâm hình bầu dục và có một lỗ. Đây là biểu hiện của bấc nến và ánh lửa sáng chói. Do đó, chữ 白 có nghĩa là 'sáng' hay 'tỏa sáng'. Chữ Bạch đã được giải thích theo nhiều cách khác nhau. Có giải thích là vẽ móng tay hoặc hạt gạo. Tuy nhiên, nhìn vào việc chữ 白 trong giáp cốt văn được dùng với nghĩa là 'sáng' hay 'tỏa sáng', việc xem nó vẽ ngọn nến là hợp lý. Chữ Bạch được chỉ định làm bộ thủ, nhưng trong Hán tự thông dụng chủ yếu chỉ dùng làm chữ tượng hình.",,百、的、怕、皇,,,
日,rì,,"Chữ 日 có nghĩa là 'ngày' hay 'mặt trời', 'ban ngày', là vẽ mặt trời. Giáp cốt văn được khắc trên mai rùa cứng nên có hạn chế trong việc biểu hiện hình tròn. Do đó, chữ 日 dù được vẽ hình vuông nhưng nên hiểu là biểu hiện mặt trời tròn. Nhìn vào chữ 日 trong giáp cốt văn, có hình vuông với một chấm ở giữa. Có giải thích đây là biểu hiện vết đen trên mặt trời, nhưng thời xa xưa khó mà nhìn thấy vết đen trên mặt trời bằng mắt thường. Do đó, xem chữ 日 biểu hiện mặt trời và ánh sáng lan tỏa xung quanh là hợp lý hơn. Mặt trời lặp lại chu kỳ mọc và lặn theo thời gian, nên khi chữ 日 được dùng làm bộ thủ, nó truyền đạt ý nghĩa liên quan đến 'thời gian' hay 'ngày tháng' hoặc 'độ sáng' hay 'thời tiết'.",,是、明、音、晚、早、旧、间、查,,,
本,,,"Chữ chỉ sự (指事文字) là cách biểu hiện ý nghĩa trừu tượng bằng cách thêm nét hoặc chấm vào chữ tượng hình đã có. Chữ 本 (bản) có nghĩa là 'gốc' hay 'rễ' thuộc loại chữ chỉ sự điển hình. Bởi vì chữ 本 được tạo ra bằng cách thêm một chấm vào phần dưới của chữ 木 (mộc - gỗ) đã có để chỉ rễ cây. Chữ Bản là chữ chỉ sự chỉ vào phần rễ cây, có nghĩa là 'gốc' từ ý nghĩa giống như rễ cây chống đỡ cây, là nền tảng nguyên thủy cấu thành sự vật.",,,,,
国,,,"Chữ 國 có nghĩa là 'nước' hay 'quốc gia'. Chữ 國 là hình ảnh kết hợp giữa chữ 囗 (vi - bao vây) và chữ 或 (hoặc - có lẽ/biên giới). Chữ 或 vẽ hình ảnh cầm mâu canh gác tường thành. Do đó, trước đây chữ 或 được dùng với nghĩa là 'nước'. Tuy nhiên, nghĩa lo lắng kẻ địch có thể tấn công bất cứ lúc nào được mở rộng, sau này nó được giả tá (mượn nghĩa) thành nghĩa 'có lẽ' hay 'nếu như'. Do đó, hiện nay chữ 國 được thêm chữ 囗 vào để có nghĩa là 'nước'. Vì vậy, chữ 國 trở thành hình thức vẽ hai tường thành. Lưu ý, chữ 國 cũng được viết tắt là 国.",,,,,
麦,,,"Chữ 麥 có nghĩa là 'lúa mạch'. Lúa mạch là cây trồng được cho là trồng ở Đông Nam Á từ thời tiền sử và lan sang Trung Quốc khoảng năm 2000 TCN. Chu kỳ sinh trưởng chỉ khoảng 90 ngày, có lẽ là một trong những loại ngũ cốc đầu tiên mà con người trồng. Nhìn vào giáp cốt văn của chữ 麥, hình ảnh bông lúa mạch rủ hai bên và rễ được vẽ cùng nhau. Do đó, chữ 麥 có thể nói là vẽ toàn bộ cây lúa mạch. Ban đầu chữ chỉ 'lúa mạch' là chữ 來 (lai - đến) có nghĩa là 'đến'. Tuy nhiên, sau này chữ 來 được giả tá (mượn nghĩa) thành nghĩa 'đến', nên chữ 麥 hiện nay được thêm chữ 夂 (trĩ - đi sau) vào để thay thế nghĩa 'lúa mạch'.",,,,,
克,,,"Chữ 克 có nghĩa là 'thắng' hay 'chịu đựng'. Chữ 克 là hình ảnh kết hợp giữa chữ 十 (thập - mười) và chữ 兄 (huynh - anh cả). Nhìn vào giáp cốt văn của chữ 克, hình ảnh con thú dữ há miệng nghiền nát rìu đá được vẽ. Đây là biểu hiện nghĩa 'giành chiến thắng'. Nghĩa 'áp chế' hay 'thắng' được biểu hiện thông qua hình ảnh nghiền nát rìu đá của đối phương bằng răng. Hình ảnh này sau này trong quá trình chữ viết được hình thành đã biến đổi thành hình thức kết hợp chữ 十 và chữ 兄.",,,,,
韩,,,"Chữ 韓 có nghĩa là 'viết tắt của Đại Hàn Dân Quốc' hay 'tên nước'. Chữ 韓 là hình ảnh kết hợp giữa chữ 倝 (cán - ánh nắng mặt trời) và chữ 韋 (vi - da thuộc/bao quanh). Chữ 倝 vẽ hình ảnh ánh nắng mặt trời rực rỡ chiếu sáng mặt đất, có nghĩa là 'ánh nắng mặt trời'. Chữ 韋 vẽ hình ảnh bao quanh thành (城), nên chữ Hàn được giải thích là hình ảnh ánh nắng mặt trời chiếu sáng thành. Chữ Hàn là viết tắt của Đại Hàn Dân Quốc, nên là chữ phù hợp với tên gọi 'đất nước buổi sáng'.",,,,,
朋,,,"Chữ 朋 có nghĩa là 'bạn bè' hay 'đoàn thể'. Chữ 朋 là vẽ hai chữ 月 (nguyệt - mặt trăng) cạnh nhau, nhưng thực ra không liên quan gì đến 'mặt trăng'. Nhìn vào giáp cốt văn của chữ 朋, hình ảnh vỏ sò được xâu dây và rủ xuống hai bên được vẽ. Đây là biểu hiện của 'bó tiền'. Đến thời nhà Thương (商), người Trung Quốc vẫn dùng 'vỏ sò ngọc trai' quý hiếm thay thế tiền tệ. Do đó, chữ 朋 có nghĩa là 'bó tiền' từ ý nghĩa xâu tiền lại với nhau. Tuy nhiên, từ khi tiền kim loại xuất hiện, nó mất đi nghĩa gốc và được dùng với nghĩa là 'bạn' hay 'bạn bè'. Có lẽ là do hình ảnh vỏ sò kết nối với nhau gợi liên tưởng đến 'bạn bè' có mối quan hệ thân thiết.",,,,,
友,,,"Chữ 友 có nghĩa là 'bạn' hay 'kết bạn', 'có tình bạn'. Nhìn vào giáp cốt văn của chữ 友, chữ 又 (hữu - lại/tay) được vẽ cạnh nhau. Đây là biểu hiện hình ảnh nắm tay với bạn thân. Có nghĩa là mối quan hệ rất gần gũi. Hình ảnh nắm tay đi cùng nhau giữa bạn thân hoặc người yêu vẫn thường thấy ngày nay. Chữ 友 là chữ phản ánh ý nghĩa đó.",,,,,
汉,hàn,氵、,"Chữ 漢 có nghĩa là 'nhà Hán'. Tuy nhiên, chữ 漢 ban đầu được dùng với nghĩa là 'tên nước Hàn'. Chữ được dùng trong chữ Hán là biến thể của chữ 堇 (cẩn - đất sét) có nghĩa là đất sét, chữ Hán được thêm chữ 水 vào có nghĩa là dòng sông ở khu vực có đất sét trộn lẫn tạo thành đồng bằng. Nơi này chính là sông Hán Thủy (漢水), một trong những chi lưu của sông Dương Tử. Nhà Hán của Trung Quốc nằm cạnh khu vực này nên lấy quốc hiệu là Hán. Sau đó, chữ Hán được dùng làm chữ đại diện cho dân tộc Hán (漢族) đã phát triển ở khu vực này.",,,,,
语,yǔ,讠、,"Chữ 語 có nghĩa là 'lời nói' hay 'nói'. Chữ 語 là hình ảnh kết hợp giữa chữ 言 (ngôn - lời nói) và chữ 吾 (ngô - tôi). Chữ 吾 là chữ có nghĩa là 'tôi'. Hiện nay ít dùng nhưng cổ đại Trung Quốc cũng là từ chỉ bản thân. Chữ Ngữ, kết hợp chữ 言 vào chữ 吾 có nghĩa 'tôi' như vậy, được giải thích là nghĩa 'lời nói của tôi'. Khó biết rõ ý định ban đầu, nhưng có vẻ muốn chỉ lời nói của chính mình.",,,,,
邮,yóu,,"Chữ 郵 có nghĩa là 'bưu điện' hay 'trạm dịch'. Chữ 郵 là hình ảnh kết hợp giữa chữ 垂 (thùy - rủ xuống) và chữ 邑 (ấp - huyện). Chữ 垂 ở đây vẽ hình ảnh lá cỏ rủ xuống. Tuy nhiên, chữ 郵 nên được giải thích là sự kết hợp giữa chữ 邑 và chữ 陲 (thùy - biên cương) có nghĩa là 'biên cương'. Bởi vì chữ 郵 là chữ chỉ nghĩa 'trạm dịch', nơi thành và biên cương truyền tài liệu cho nhau. Cổ đại, khu vực biên cương và quan nha trong thành thường xuyên trao đổi thông tin. Chủ yếu là cưỡi ngựa chuyển tài liệu hoặc thông tin, nơi đổi ngựa ở giữa gọi là 郵. Vì vậy, chữ 郵 là sự kết hợp giữa chữ 陲 có nghĩa biên cương và chữ 邑 có nghĩa thành, biểu hiện ý nghĩa kết nối biên cương và thành.",,,,,
局,jú,,"Chữ 局 có nghĩa là 'cờ' hay 'quan lại', 'tình hình hiện tại'. Chữ 局 là hình ảnh kết hợp giữa chữ 尺 (xích - thước) và chữ 口 (khẩu - miệng/vật). Tuy nhiên, chữ 局 không liên quan gì đến chữ 尺. Nhìn vào tiểu triện của chữ 局, chữ 口 được vẽ dưới chữ 尺. Điều này biểu hiện hình ảnh quân cờ đặt trên bàn cờ. Do đó, chữ Cục ban đầu có nghĩa là 'bàn cờ' hoặc 'bàn cờ vây'. Tuy nhiên, nghĩa phải đấu trí mới thắng được phái sinh, nên có nghĩa 'tình hình hiện tại' hay 'tài trí', và được ví với cục diện trên bàn cờ, có nghĩa là 'quan lại' thảo luận quốc sự.",,,,,
